Month,Open,High,Low,Close
Apr-79,,,,127.02
May-79,,,,124.1
Jun-79,,,,125.41
Jul-79,,,,115.86
Aug-79,,,,116.11
Sep-79,,,,119.64
Oct-79,,,,123.85
Nov-79,,,,115.59
Dec-79,,,,118.76
Jan-80,,,,123.54
Feb-80,,,,128.21
Mar-80,,,,128.57
Apr-80,,,,127.25
May-80,,,,125.97
Jun-80,,,,122.15
Jul-80,,,,128.6
Aug-80,,,,140.75
Sep-80,,,,134.41
Oct-80,,,,130.92
Nov-80,,,,140.14
Dec-80,,,,148.25
Jan-81,,,,146.63
Feb-81,,,,160.16
Mar-81,,,,173.44
Apr-81,,,,186.29
May-81,,,,177.06
Jun-81,,,,211.64
Jul-81,,,,208.02
Aug-81,,,,193.49
Sep-81,,,,205.4
Oct-81,,,,208.4
Nov-81,,,,214.56
Dec-81,,,,227.72
Jan-82,,,,219.93
Feb-82,,,,228.07
Mar-82,,,,217.71
Apr-82,,,,225.9
May-82,,,,228.92
Jun-82,,,,212.81
Jul-82,,,,216.12
Aug-82,,,,213.99
Sep-82,,,,228.22
Oct-82,,,,222.14
Nov-82,,,,227.97
Dec-82,,,,235.83
Jan-83,,,,221.66
Feb-83,,,,218.82
Mar-83,,,,211.51
Apr-83,,,,214.16
May-83,,,,237.42
Jun-83,,,,237.45
Jul-83,,,,235.46
Aug-83,,,,238.57
Sep-83,,,,236.21
Oct-83,,,,236.92
Nov-83,,,,240.21
Dec-83,,,,252.92
Jan-84,,,,248.46
Feb-84,,,,250.47
Mar-84,,,,245.33
Apr-84,,,,235.27
May-84,,,,240.75
Jun-84,,,,249.44
Jul-84,,,,253.73
Aug-84,,,,249.14
Sep-84,,,,265.61
Oct-84,,,,267.81
Nov-84,,,,259.44
Dec-84,,,,271.87
Jan-85,,,,287.62
Feb-85,,,,303.63
Mar-85,,,,353.86
Apr-85,,,,386.95
May-85,,,,399.42
Jun-85,,,,477.96
Jul-85,,,,514.85
Aug-85,,,,468.14
Sep-85,,,,434.97
Oct-85,,,,476.14
Nov-85,,,,496.35
Dec-85,,,,527.36
Jan-86,,,,597.86
Feb-86,,,,656.89
Mar-86,,,,574.11
Apr-86,,,,598.53
May-86,,,,625.64
Jun-86,,,,605.57
Jul-86,,,,596.7
Aug-86,,,,548.4
Sep-86,,,,588.4
Oct-86,,,,575.74
Nov-86,,,,499.81
Dec-86,,,,524.45
Jan-87,,,,553.8
Feb-87,,,,550.43
Mar-87,,,,510.36
Apr-87,,,,479.87
May-87,,,,462.27
Jun-87,,,,433.98
Jul-87,,,,489.11
Aug-87,,,,482.79
Sep-87,,,,449.52
Oct-87,,,,450.31
Nov-87,,,,430.18
Dec-87,,,,442.17
Jan-88,,,,441.95
Feb-88,,,,411.22
Mar-88,,,,398.37
Apr-88,,,,471.5
May-88,,,,579.81
Jun-88,,,,583.5
Jul-88,,,,603.59
Aug-88,,,,593.76
Sep-88,,,,662.71
Oct-88,,,,654.18
Nov-88,,,,707.44
Dec-88,,,,666.26
Jan-89,,,,678.72
Feb-89,,,,654.96
Mar-89,,,,713.6
Apr-89,,,,780.36
May-89,,,,691.15
Jun-89,,,,792.17
Jul-89,,,,716.35
Aug-89,,,,733.3
Sep-89,,,,748.06
Oct-89,,,,746.58
Nov-89,,,,689.72
Dec-89,,,,778.64
Jan-90,,,,683.32
Feb-90,,,,676.23
Mar-90,,,,781.05
Apr-90,,,,795.13
May-90,,,,800.8
Jun-90,,,,850.5
Jul-90,,,,1098.95
Aug-90,,,,1247.53
Sep-90,,,,1420.08
Oct-90,,,,1295.21
Nov-90,,,,1196.25
Dec-90,,,,1048.29
Jan-91,1027.38,1034.3,947.14,982.32
Feb-91,987.11,1249.36,983.23,1220.41
Mar-91,1200.43,1251.07,1137.59,1167.97
Apr-91,1179.18,1316.38,1179.18,1235.11
May-91,1269.39,1338.46,,1307.34
Jun-91,1302.82,1372.25,1245.15,1269.91
Jul-91,1253.08,1679.95,,1632.67
Aug-91,1647.29,1861.94,1598.85,1795.99
Sep-91,1802.43,1918.21,,1885.28
Oct-91,1872.69,1897.71,1685.57,1889.84
Nov-91,1914.12,1955.29,,1903.31
Dec-91,1918.61,1946.28,1804.81,1908.85
Jan-92,,2329.95,,2302.54
Feb-92,,3049.9,,3017.68
Mar-92,3273.47,4318.95,,4285
Apr-92,4546.58,4546.58,,3887.72
May-92,3531.21,3710.86,2963.49,3006.08
Jun-92,2958.39,3198.77,,3080.54
Jul-92,2972.96,2972.96,2677.07,2727.06
Aug-92,2721.02,3071.52,2529.59,3031.63
Sep-92,3080.79,3463.14,3017.04,3294.42
Oct-92,3303.93,3329.8,2825.58,2833.34
Nov-92,2867.57,2982.9,2413.62,2518.1
Dec-92,2522.07,2708.62,2359.34,2615.37
Jan-93,2617.78,2954.25,2389.8,2680.79
Feb-93,2667.38,2842.33,2605.02,2783.58
Mar-93,2677.93,2677.93,,2280.52
Apr-93,2294.41,2412.15,1980.06,2122.3
May-93,2099.18,2369.31,2059.77,2192.74
Jun-93,2232.29,2437.71,2140.39,2227.54
Jul-93,2243.81,2336.6,2082.38,2328.21
Aug-93,2354.99,2768.54,2322.71,2633.79
Sep-93,2627.29,2838.9,2513.61,2709.64
Oct-93,2712.72,2756.85,2612.03,2673.74
Nov-93,2648.26,3243.33,2609.37,3233.14
Dec-93,3270.84,3459.07,3149.8,3346.06
Jan-94,3436.87,4152.74,3405.88,3994.86
Feb-94,3939.17,4288.44,,4286.2
Mar-94,4273.48,4273.48,3643.33,3778.99
Apr-94,3766.82,3944.95,3694.55,3746.1
May-94,3728.57,3851.15,3575.77,3829.36
Jun-94,3820.11,4334.48,3811.26,4086.72
Jul-94,4098.67,4217.21,4047.55,4191.3
Aug-94,4227.6,4588.16,4227.6,4588.16
Sep-94,4573.86,4643.31,4281,4281
Oct-94,4267.97,4449.7,,4269.86
Nov-94,4293.51,4308.7,3999.01,4124.18
Dec-94,4106.18,4109.09,3806.3,3926.9
Jan-95,3910.16,3943.66,3394.94,3618.54
Feb-95,3636.89,3642.12,,3421.47
Mar-95,3454.97,3548.47,,3260.96
Apr-95,3287.84,3508.61,3133.28,3133.28
May-95,3061.88,3351.48,,3351.48
Jun-95,3351.11,3438.98,,3247.36
Jul-95,3217.01,3595.55,,3386.97
Aug-95,3383.29,3462.75,3327.72,3346.76
Sep-95,3345.56,3519.14,3289.4,3493.21
Oct-95,,3611.56,,3423.47
Nov-95,3428.79,3509.26,2891.45,2994.29
Dec-95,3064.38,3149.04,2991.84,3110.49
Jan-96,3114.08,3131.37,2820.26,2931.84
Feb-96,2929.04,3607.27,2929.04,3391.99
Mar-96,3391.08,3435.85,3210.7,3366.61
Apr-96,3376.64,3950.82,3376.64,3826.72
May-96,3827.6,3879.55,3578.29,3724.97
Jun-96,3731.96,4131.22,3731.96,3812.52
Jul-96,3798.87,3820.95,3387.39,3536.94
Aug-96,3539.97,3585.15,3276.15,3514.61
Sep-96,3519.42,3586.89,3205.23,3239.48
Oct-96,3249.15,3344.67,2930.93,3163.78
Nov-96,3164.03,3190.82,2847.48,2890.5
Dec-96,2883.88,3127.19,2713.12,3085.2
Jan-97,3096.65,3812.31,3096.65,3382.47
Feb-97,3379.76,3735.89,3316.15,3651.91
Mar-97,3713.74,4029.56,3318.9,3360.89
Apr-97,3339.47,3879.21,3315.36,3841.11
May-97,3838.44,3838.44,3652.2,3755.1
Jun-97,3758.39,4272.44,3747.14,4256.09
Jul-97,4263.11,4448.06,4105.28,4305.76
Aug-97,4322.19,4605.41,3851.04,3876.08
Sep-97,3875.26,4112.48,3758.52,3902.03
Oct-97,3885.41,4166.14,3795.66,3803.24
Nov-97,3814.75,3852.24,3388.46,3560.29
Dec-97,3536.07,3711.26,3247.63,3658.98
Jan-98,3658.34,3792.86,3164.66,3224.36
Feb-98,3288.78,3639.84,3261.38,3622.22
Mar-98,3657.57,3999.03,3600.06,3892.75
Apr-98,3901.44,4322,3901.44,4006.81
May-98,4058.75,4156.58,3589.24,3686.39
Jun-98,3737.25,3823.15,2951.45,3250.69
Jul-98,3210.6,3525.9,3079.43,3211.31
Aug-98,3159.02,3163.28,2838.99,2933.85
Sep-98,2862.24,3266.71,2850.3,3102.29
Oct-98,3036.15,3045.54,2741.22,2812.49
Nov-98,2820.23,3027.2,2741.7,2810.66
Dec-98,2803.73,3118.59,2790.32,3055.41
Jan-99,3064.95,3515.49,3042.25,3315.57
Feb-99,3331.91,3406.28,3157.7,3399.63
Mar-99,3447.5,3817.94,3417.22,3739.96
Apr-99,3750.22,3754.73,3183.47,3325.69
May-99,3380.61,4197.08,3363.06,3963.56
Jun-99,3954.26,4285.99,3830.15,4140.73
Jul-99,4156.62,4810.33,4120.73,4542.34
Aug-99,4571.36,4965.79,4470.52,4898.21
Sep-99,4910.64,4914.12,4513.55,4764.42
Oct-99,4808.63,5150.99,4368.85,4444.56
Nov-99,4490.06,4770.11,4209.41,4622.21
Dec-99,4609.66,5077.23,4584.74,5005.82
Jan-00,5209.54,5668.28,5184.48,5205.29
Feb-00,5217.65,6150.69,5127.79,5446.98
Mar-00,5464.65,5828.79,4867.23,5001.28
Apr-00,5070.5,5542.81,4284.17,4657.55
May-00,4736.02,4757.89,3831.86,4433.61
Jun-00,4406.52,4919.63,4321.26,4748.77
Jul-00,4846.69,5058.9,4052.61,4279.86
Aug-00,4295.35,4500.3,4142.81,4477.31
Sep-00,4571.89,4790.63,4004.73,4090.38
Oct-00,4035.64,4197.39,3491.55,3711.02
Nov-00,3749.35,4046.19,3734.98,3997.99
Dec-00,3968.89,4332.65,3803.69,3972.12
Jan-01,3990.65,4409.33,3929.37,4326.72
Feb-01,4303.13,4462.11,4020.68,4247.04
Mar-01,4288.23,4386.98,3436.75,3604.38
Apr-01,3491.41,3676.82,3096.51,3519.16
May-01,3565.53,3759.96,3420.14,3631.91
Jun-01,3637.03,3651.32,3287.94,3456.78
Jul-01,3480.06,3513.79,3241.66,3329.28
Aug-01,3335,3359.07,3241.12,3244.95
Sep-01,3245.71,3267.93,2594.87,2811.6
Oct-01,2817.74,3083.65,2718.41,2989.35
Nov-01,3003.95,3377.81,3003.95,3287.56
Dec-01,3301.05,3500.2,3100.57,3262.33
Jan-02,3262.01,3466.73,3236.76,3311.03
Feb-02,3334.69,3758.11,3290,3562.31
Mar-02,3551.56,3758.27,3454.27,3469.35
Apr-02,3482.94,3538.49,3296.88,3338.16
May-02,3361.33,3478.02,3097.73,3125.73
Jun-02,3162.27,3377.88,3148.57,3244.7
Jul-02,3246.44,3366.74,2932.35,2987.65
Aug-02,2998.46,3185.08,2931.78,3181.23
Sep-02,3206.81,3227.62,2973.97,2991.36
Oct-02,2976.04,3038.92,2828.48,2949.32
Nov-02,2956.94,3245.98,2928.63,3228.82
Dec-02,3247.6,3413.83,3186.62,3377.28
Jan-03,3383.85,3416.92,3199.18,3250.38
Feb-03,3260.04,3341.61,3218.37,3283.66
Mar-03,3301.67,3311.57,3039.83,3048.72
Apr-03,3037.54,3221.9,2904.44,2959.79
May-03,2949.04,3200.48,2934.78,3180.75
Jun-03,3176.56,3632.84,3170.38,3607.13
Jul-03,3617.74,3835.75,3534.06,3792.61
Aug-03,3800.73,4277.64,3722.08,4244.73
Sep-03,4248.07,4473.57,4097.55,4453.24
Oct-03,4452.07,4951.11,4432.93,4906.87
Nov-03,4946.93,5135,4736.7,5044.82
Dec-03,5086.86,5920.76,5082.82,5838.96
Jan-04,5872.48,6249.6,5567.68,5695.67
Feb-04,5715.46,6082.8,5550.17,5667.51
Mar-04,5649.3,5951.03,5324.78,5590.6
Apr-04,5599.12,5979.25,5599.12,5655.09
May-04,5645.86,5772.64,4227.5,4759.62
Jun-04,4792.01,5012.52,4613.94,4795.46
Jul-04,4813.76,5200.85,4723.04,5170.32
Aug-04,5193.25,5269.22,5022.29,5192.08
Sep-04,5202.16,5638.79,5178.57,5583.61
Oct-04,5587.46,5803.82,5558.14,5672.27
Nov-04,5678.65,6248.43,5649.03,6234.29
Dec-04,6259.28,6617.15,6176.09,6602.69
Jan-05,6626.49,6696.31,6069.33,6555.94
Feb-05,6565.21,6721.08,6508.33,6713.86
Mar-05,6725.92,6954.86,6321.31,6492.82
Apr-05,6506.6,6649.42,6118.42,6154.44
May-05,6183.07,6772.74,6140.97,6715.11
Jun-05,6729.39,7228.21,6647.36,7193.85
Jul-05,7165.45,7708.59,7123.11,7635.42
Aug-05,7632.01,7921.39,7537.5,7805.43
Sep-05,7818.9,8722.17,7818.9,8634.48
Oct-05,8662.99,8821.84,7656.15,7892.32
Nov-05,7989.86,9033.99,7891.23,8788.81
Dec-05,8813.82,9442.98,8769.56,9397.93
Jan-06,9422.49,9945.19,9158.44,9919.89
Feb-06,9959.24,10422.65,9713.51,10370.24
Mar-06,10368.75,11356.95,10344.26,11279.96
Apr-06,11342.96,12102,11008.43,12042.56
May-06,12103.78,12671.11,9826.91,10398.61
Jun-06,10472.46,10626.84,8799.01,10609.25
Jul-06,10616.97,10940.45,9875.35,10743.88
Aug-06,10737.5,11794.43,10645.99,11699.05
Sep-06,11699.57,12485.17,11444.18,12454.42
Oct-06,12473.79,13075.85,12178.83,12961.9
Nov-06,12992.62,13799.08,12937.3,13696.31
Dec-06,13729.67,14035.3,12801.65,13786.91
Jan-07,13827.77,14325.92,13303.22,14090.92
Feb-07,14124.36,14723.88,12800.91,12938.09
Mar-07,13013.74,13386.95,12316.1,13072.1
Apr-07,12811.93,14383.72,12425.52,13872.37
May-07,13987.77,14576.37,13554.34,14544.46
Jun-07,14610.28,14683.36,13946.99,14650.51
Jul-07,14685.16,15868.85,14638.88,15550.99
Aug-07,15344.02,15542.4,13779.88,15318.6
Sep-07,15401.99,17361.47,15323.05,17291.1
Oct-07,17356.99,20238.16,17144.58,19837.99
Nov-07,20130.23,20204.21,18182.83,19363.19
Dec-07,19547.09,20498.11,18886.4,20286.99
Jan-08,20325.27,21206.77,15332.42,17648.71
Feb-08,17820.67,18895.34,16457.74,17578.72
Mar-08,17227.56,17227.56,14677.24,15644.44
Apr-08,15771.72,17480.74,15297.96,17287.31
May-08,17560.15,17735.7,16196.02,16415.57
Jun-08,16591.46,16632.72,13405.54,13461.6
Jul-08,13480.02,15130.09,12514.02,14355.75
Aug-08,14064.26,15579.78,14002.43,14564.53
Sep-08,14412.99,15107.01,12153.55,12860.43
Oct-08,13006.72,13203.86,7697.39,9788.06
Nov-08,10209.37,10945.41,8316.39,9092.72
Dec-08,9162.94,10188.54,8467.43,9647.31
Jan-09,9720.55,10469.72,8631.6,9424.24
Feb-09,9363.58,9724.87,8619.22,8891.61
Mar-09,8762.88,10127.09,8047.17,9708.5
Apr-09,9745.77,11492.1,9546.29,11403.25
May-09,11635.24,14930.54,11621.3,14625.25
Jun-09,14746.51,15600.3,14016.95,14493.84
Jul-09,14506.43,15732.81,13219.99,15670.31
Aug-09,15694.78,16002.46,14684.45,15666.64
Sep-09,15691.27,17142.52,15356.72,17126.84
Oct-09,17186.2,17493.17,15805.2,15896.28
Nov-09,15838.63,17290.48,15330.56,16926.22
Dec-09,16947.46,17530.94,16577.78,17464.81
Jan-10,17473.45,17790.33,15982.08,16357.96
Feb-10,16339.32,16669.25,15651.99,16429.55
Mar-10,16438.45,17793.01,16438.45,17527.77
Apr-10,17555.04,18047.86,17276.8,17558.71
May-10,17536.86,17536.86,15960.15,16944.63
Jun-10,16942.82,17919.62,16318.39,17700.9
Jul-10,17679.34,18237.56,17395.58,17868.29
Aug-10,17911.31,18475.27,17819.99,17971.12
Sep-10,18027.12,20267.98,18027.12,20069.12
Oct-10,20094.1,20854.55,19768.96,20032.34
Nov-10,20272.49,21108.64,18954.82,19521.25
Dec-10,19529.99,20552.03,19074.57,20509.09
Jan-11,20621.61,20664.8,18038.48,18327.76
Feb-11,18425.18,18690.97,17295.62,17823.4
Mar-11,17982.28,19575.16,17792.17,19445.22
Apr-11,19463.11,19811.14,18976.19,19135.96
May-11,19224.05,19253.87,17786.13,18503.28
Jun-11,18527.12,18873.39,17314.38,18845.87
Jul-11,18974.96,19131.7,18131.86,18197.2
Aug-11,18352.23,18440.07,15765.53,16676.75
Sep-11,16963.67,17211.8,15801.01,16453.76
Oct-11,16255.97,17908.13,15745.43,17705.01
Nov-11,17540.55,17702.26,15478.69,16123.46
Dec-11,16555.93,17003.71,15135.86,15454.92
Jan-12,15534.67,17258.97,15358.02,17193.55
Feb-12,17179.64,18523.78,17061.55,17752.68
Mar-12,17714.62,18040.69,16920.61,17404.2
Apr-12,17429.96,17664.1,17010.16,17318.81
May-12,17370.93,17432.33,15809.71,16218.53
Jun-12,16217.48,17448.48,15748.98,17429.98
Jul-12,17438.68,17631.19,16598.48,17236.18
Aug-12,17244.44,17972.54,17026.97,17429.56
Sep-12,17465.6,18869.94,17250.8,18762.74
Oct-12,18784.64,19137.29,18393.42,18505.38
Nov-12,18487.9,19372.7,18255.69,19339.9
Dec-12,19342.83,19612.18,19149.03,19426.71
Jan-13,19513.45,20203.66,19508.93,19894.98
Feb-13,19907.21,19966.69,18793.97,18861.54
Mar-13,18876.68,19754.66,18568.43,18835.77
Apr-13,18890.81,19622.68,18144.22,19504.18
